comment,author,published_at,like_count,video_id,intent_category,matched_keyword
"First suit link
Pls",@shiprabhadana5822,2026-08-15T11:18:31Z,0,mdkcYVovjB4,product_link,link
Link of first,@harshaindoriya2504,2026-08-13T17:35:28Z,0,mdkcYVovjB4,product_link,link
Link for first outfit plz,@tubalateef7365,2026-08-13T10:52:37Z,0,mdkcYVovjB4,product_link,link
Qki wo dono ka link apne ni diya h. So plz black wale link plz,@kr_harsha,2026-08-11T12:04:35Z,0,mdkcYVovjB4,product_link,link
Black wale or onion wale ka link dena plz.,@kr_harsha,2026-08-11T12:04:08Z,0,mdkcYVovjB4,product_link,link
1st ka link,@thisisuttam...5661,2026-08-11T02:19:21Z,0,mdkcYVovjB4,product_link,link
Link,@ghalotritu,2026-08-10T06:24:42Z,0,mdkcYVovjB4,product_link,link
Your choice is best among all you tubers  who review clothes .I always look forward to your video before buying any suit,@Decorzaa,2026-08-09T15:42:08Z,0,mdkcYVovjB4,purchase_intent,buy
Create my haul link,@anamikakumari589,2026-08-09T05:43:02Z,0,mdkcYVovjB4,product_link,link
Link,@MonikaChaudhary-x8j,2026-08-09T04:45:53Z,0,mdkcYVovjB4,product_link,link
Best choices........there is any link of which one u wear  in this video,@satyy2j,2026-08-07T19:33:02Z,0,mdkcYVovjB4,product_link,link
1st suit ka link nahi hai,@manishajain4660,2026-08-07T12:21:34Z,0,mdkcYVovjB4,product_link,link
link,@shelly18-q5d,2026-08-06T22:09:20Z,0,mdkcYVovjB4,product_link,link
Pls share link of 1st beige suit,@shreej5678,2026-08-06T13:09:27Z,1,mdkcYVovjB4,product_link,link
None of the links are opening,@shalinirawat9573,2026-08-05T21:13:35Z,0,mdkcYVovjB4,product_link,link
Link for the first one,@Shalusharma-i2q,2026-08-05T13:28:01Z,1,mdkcYVovjB4,product_link,link
Link of 1st one please,@viraltrendinghai,2026-08-05T06:08:04Z,0,mdkcYVovjB4,product_link,link
Plz send me the link of 1 one,@garimasingh8451,2026-08-04T12:11:42Z,0,mdkcYVovjB4,product_link,link
Link,@PAWALIANISHA,2026-08-04T10:12:38Z,0,mdkcYVovjB4,product_link,link
Link,@heenaverma8468,2026-08-04T09:37:33Z,0,mdkcYVovjB4,product_link,link
The dresses you wore and the links are totally different 🤔,@tammys.furry_tales,2026-08-03T20:33:55Z,0,mdkcYVovjB4,product_link,link
