comment,author,published_at,like_count,video_id,intent_category,matched_keyword
Diii apne Jo pehna hai top uska link plz,@taelicious1488,2024-10-17T20:16:53Z,0,-_V7b-F2vFc,product_link,link
"Yellow dress mere pas hai
But maine 525 me purchase kiya hai",@Priyanka-c-q,2021-05-03T17:07:58Z,0,k__Yf85C7M4,purchase_intent,purchase
"All dresses were awesome by u srinaya I will buy any 2 of them 
Wishing to get a ❤️ heart ❤️ and a reply from srinaya",@VijaylaxmiKaunderVIA,2020-10-26T13:35:54Z,2,k__Yf85C7M4,purchase_intent,buy
"Harsh T-shirt is saying out of stock, stock up quickly",@sudeshvlogs01,2023-12-09T13:19:42Z,2,QNBzPrsD65s,availability,out of stock
ur ear rings look v preety link plz,@sanasultana4245,2026-07-14T18:12:45Z,0,Ua4_P2eZrTU,product_link,link
2nd no ka dress ka link nahi h please de usko fir se teg kar dijiye mujhe wo chaiye please i love it jab link he nahi milta to mn udash ho jata h kya fhyada fir video dekhne ka,@MissShazia-x4s,2026-06-07T17:07:33Z,0,Ua4_P2eZrTU,product_link,link
Link plz,@garimamahluwalia1570,2026-05-08T11:42:49Z,0,Ua4_P2eZrTU,product_link,link
Link is not visible can u plz tag it again,@Saanvi00009,2026-03-08T20:56:56Z,2,Ua4_P2eZrTU,product_link,link
"That purple suit oh my God! I ordered it and I’m absolutely in love with it. The farshi salwar is just stunning. 😭🤌🏻🫶🏻 You should definitely show more designs like this, especially more farshi salwar suits!",@dayswither,2026-02-24T08:18:20Z,0,Ua4_P2eZrTU,purchase_intent,ordered
"The shirt you are wearing is soo good
Share us link",@vrushalishrimali9554,2026-01-13T17:02:08Z,0,Ua4_P2eZrTU,product_link,link
"Heloo shivani apke video ka phla anouk wala suit maine order kar diya hai ... but abhi maine review dkhe to waha likha hai logo ne k iski stiching acchi nahi hai , pick bhi lagayi hui hai ..pls kya ap bata skte ho k iski cloth quality aur stiching kaisi hai kyuki mai out of india hu mere pas isko change karne ka time nahi hoga ..plss hlp me",@minaalmohsinshaikh4623,2026-01-13T03:16:50Z,0,Ua4_P2eZrTU,purchase_intent,order
"Not good deal,,, ye suit is price me hi aate h and same febric,, myntra sale me b whi price h,, over price krke sale me kam Krna...",@minakshisingh1228,2025-12-27T19:48:31Z,2,Ua4_P2eZrTU,sale,sale
Aap single link Dalo,@sajidachaudhary6714,2025-12-13T14:51:00Z,0,Ua4_P2eZrTU,product_link,link
First Vali suit ka link nahin Hai,@sajidachaudhary6714,2025-12-13T14:50:29Z,0,Ua4_P2eZrTU,product_link,link
Turquoise v neck link is missing..pls addit dii,@minnieprasad6756,2025-12-12T11:22:25Z,3,Ua4_P2eZrTU,product_link,link
Please buy farsi suits i want a review so I can buy them because your choice is great 👍🏻,@Soni-mj4pn,2025-12-11T16:09:30Z,4,Ua4_P2eZrTU,purchase_intent,buy
Mam ek suit ka link nhi hai pink  and turquoise wala wo mera fav hai please usk link dijiyega,@VelvetSkies-J,2025-12-11T10:45:37Z,0,Ua4_P2eZrTU,product_link,link
Appke suit ka link nahi mil raha open hi nahi ho Raha,@rekhaverma8978,2025-12-11T00:50:03Z,0,Ua4_P2eZrTU,product_link,link
Hi mam..aap ye sab purchase karke kya karte hai is clothes ka ..and apki youtube se kaise earning hoti hai ..❤❤,@DeepikaSachdev-m8e,2025-12-10T14:52:23Z,0,Ua4_P2eZrTU,purchase_intent,purchase
Aapne jo shirt wear kiya uska link dijiye diii,@ritu1802,2025-12-10T08:45:25Z,0,Ua4_P2eZrTU,product_link,link
