comment,author,published_at,like_count,video_id
"Let me know your favourite clothing piece in the comments❤
Follow me on instagram: @dhruvinanda",@dhruvinandavlogs,2023-06-24T08:32:33Z,20,-_V7b-F2vFc
Allll dressss soo❤❤❤❤,@NainaGautam-f9d,2025-04-29T08:32:44Z,0,-_V7b-F2vFc
Diii apne Jo pehna hai top uska link plz,@taelicious1488,2024-10-17T20:16:53Z,0,-_V7b-F2vFc
What's your height??,@kanannnnn,2024-01-02T08:20:41Z,0,-_V7b-F2vFc
Sorry but that white top with purple skirt is not looking gd like other outfits,@kanishka6318,2023-10-20T09:28:52Z,0,-_V7b-F2vFc
so clear ur viedo..so can enjoy maximum..do more fittings,@mahi91625,2023-10-12T22:01:26Z,0,-_V7b-F2vFc
3:14 but u look too cute in this dress❤❤,@nainuthakur7596,2023-08-28T16:52:27Z,0,-_V7b-F2vFc
"Hey , dhruvi..
Can you please make a video on your weight-loss journey..
Bcoz , i need your consult .",@Aishpatil96k,2023-08-27T12:18:17Z,1,-_V7b-F2vFc
U look like my crush😅😅❤❤,@NikuAyemi,2023-08-18T02:15:58Z,0,-_V7b-F2vFc
Plz ek vlog favorite pankhuri pandya ke saath ❤❤,@tanaya_arekar,2023-08-17T15:17:00Z,0,-_V7b-F2vFc
Super drees collection ❤,@tanaya_arekar,2023-08-17T15:14:06Z,0,-_V7b-F2vFc
"Abhishek bhai is the real winner of big boss❤, panda gang ❤🥰😍😍💕🐼🐼👑👑👑👑😎🤩",@THE.TANMAY.009,2023-08-17T10:34:33Z,0,-_V7b-F2vFc
hi my name nanda u are name nanda parft match,@nandakumarnandakumar8528,2023-08-12T17:58:10Z,0,-_V7b-F2vFc
"You are looking fabulous❤❤
❤ U",@lalitmer3617,2023-08-02T10:52:18Z,0,-_V7b-F2vFc
rakhna chaiye,@Life_Stories_28,2023-07-30T03:29:42Z,0,-_V7b-F2vFc
Kya hee bataye ladka hoke bhi ladki ka dress dekh raha hun 😂😅,@davidbty1,2023-07-26T11:28:58Z,0,-_V7b-F2vFc
"Agar me meri wali ko under 1k kuch gift krdu
Vo muje bolegi
""that's  okay""














Bhaiya",@pankajsharma8387,2023-07-25T12:28:07Z,0,-_V7b-F2vFc
Mast lag rha hai re baba keep it😅,@fit.nikhil01,2023-07-21T19:00:56Z,0,-_V7b-F2vFc
That leather skirt is giving vibe of pooh from kabhi khushi kabhi gham movie😍,@svv_30,2023-07-20T14:26:14Z,2,-_V7b-F2vFc
